stock_id,period_type,period,revenue,revenue_yoy,eps,eps_yoy,roe,announce_date
1225,quarterly,2023-Q3,,,0.56,1220.0,,2023-09-30
1225,quarterly,2023-Q4,,,0.58,346.15384615384613,,2023-12-31
1225,quarterly,2024-Q1,,,0.31,3.3333333333333366,,2024-03-31
1225,quarterly,2024-Q2,,,0.59,227.77777777777777,,2024-06-30
1225,quarterly,2024-Q3,,,0.3,-46.42857142857144,,2024-09-30
1225,quarterly,2024-Q4,,,0.3,-48.275862068965516,,2024-12-31
1225,quarterly,2025-Q1,,,0.38,22.580645161290324,,2025-03-31
1225,quarterly,2025-Q2,,,0.43,-27.11864406779661,,2025-06-30
1225,quarterly,2025-Q3,,,0.36,20.0,,2025-09-30
1225,quarterly,2025-Q4,,,0.5,66.66666666666667,10.069630423138722,2025-12-31
1225,quarterly,2026-Q1,,,0.44,15.789473684210526,10.332541567695962,2026-03-31
1227,quarterly,2021-Q2,,,0.9,,,2021-06-30
1227,quarterly,2021-Q3,,,0.65,,,2021-09-30
1227,quarterly,2021-Q4,,,0.53,,,2021-12-31
1227,quarterly,2022-Q1,,,0.36,,,2022-03-31
1227,quarterly,2022-Q2,,,0.18,-80.0,,2022-06-30
1227,quarterly,2022-Q3,,,0.54,-16.92307692307692,,2022-09-30
1227,quarterly,2022-Q4,,,0.27,-49.056603773584904,,2022-12-31
1227,quarterly,2023-Q1,,,0.29,-19.444444444444446,,2023-03-31
1227,quarterly,2023-Q2,,,0.2,11.111111111111121,,2023-06-30
1227,quarterly,2023-Q3,,,0.55,1.8518518518518534,,2023-09-30
1227,quarterly,2023-Q4,,,0.31,14.814814814814806,,2023-12-31
1227,quarterly,2024-Q1,,,0.52,79.31034482758622,,2024-03-31
1227,quarterly,2024-Q2,,,0.32,60.0,,2024-06-30
1227,quarterly,2024-Q3,,,0.54,-1.8181818181818195,,2024-09-30
1227,quarterly,2024-Q4,,,0.52,67.74193548387098,,2024-12-31
1227,quarterly,2025-Q1,,,0.39,-25.0,,2025-03-31
1227,quarterly,2025-Q2,,,0.13,-59.375,,2025-06-30
1227,quarterly,2025-Q3,,,0.41,-24.074074074074083,,2025-09-30
1227,quarterly,2025-Q4,,,0.39,-25.0,6.520726595249185,2025-12-31
