stock_id,target_mean,target_median,target_high,target_low,num_analysts,source,fetched_at
2049,349.06668,389.0,457.0,143.0,15,yfinance,2026-05-19T04:13:37+00:00
2059,5796.1665,5944.0,6750.0,4150.0,12,yfinance,2026-05-17T15:22:41+00:00
2072,335.0,335.0,335.0,335.0,1,yfinance,2026-05-17T15:22:51+00:00
2105,29.5,29.5,29.5,29.5,1,yfinance,2026-05-17T15:22:57+00:00
2106,22.0,22.0,22.0,22.0,1,yfinance,2026-05-14T23:46:46+00:00
2201,36.0,36.0,36.0,36.0,1,yfinance,2026-05-19T04:13:42+00:00
2207,676.0,676.0,676.0,676.0,1,yfinance,2026-05-17T15:23:07+00:00
2228,109.0,109.0,109.0,109.0,1,yfinance,2026-05-17T15:23:12+00:00
2248,80.0,80.0,80.0,80.0,1,yfinance,2026-05-19T04:13:48+00:00
2301,207.77779,225.0,285.0,117.0,9,yfinance,2026-05-19T04:13:48+00:00
2303,78.55455,77.5,138.0,38.3,22,yfinance,2026-05-19T17:20:59+00:00
2308,2519.6316,2600.0,3030.0,770.0,19,yfinance,2026-05-19T17:21:14+00:00
2313,236.66667,300.0,310.0,100.0,3,yfinance,2026-05-19T04:13:52+00:00
2317,311.66666,310.0,400.0,245.0,18,yfinance,2026-05-19T17:21:12+00:00
2324,29.7125,29.0,35.0,23.0,8,yfinance,2026-05-19T17:24:46+00:00
2327,423.08334,382.5,650.0,330.0,12,yfinance,2026-05-19T17:24:47+00:00
2330,2558.0,2594.0,3000.0,2051.0,32,yfinance,2026-05-19T17:21:13+00:00
2337,191.25,186.0,300.0,80.0,8,yfinance,2026-05-19T17:20:58+00:00
2344,146.0,141.0,200.0,100.0,6,yfinance,2026-05-19T17:24:52+00:00
2345,2902.0,3100.0,3500.0,1800.0,11,yfinance,2026-05-17T15:23:47+00:00
2347,102.5,102.5,105.0,100.0,2,yfinance,2026-05-17T15:23:48+00:00
2348,100.0,100.0,100.0,100.0,1,yfinance,2026-05-17T15:23:49+00:00
2351,149.5,158.5,206.0,75.0,4,yfinance,2026-05-17T15:23:52+00:00
2352,32.0,32.0,32.0,32.0,1,yfinance,2026-05-19T17:24:52+00:00
2353,28.0,28.0,35.0,21.0,4,yfinance,2026-05-19T17:24:53+00:00
2354,62.0,62.0,70.0,54.0,2,yfinance,2026-05-17T15:23:54+00:00
2355,45.0,45.0,45.0,45.0,1,yfinance,2026-05-19T17:24:54+00:00
2356,51.02,51.58,61.0,35.0,8,yfinance,2026-05-19T04:14:01+00:00
2357,711.51,705.0,850.0,525.0,10,yfinance,2026-05-19T17:24:55+00:00
2360,2189.0,2500.0,3115.0,430.0,15,yfinance,2026-05-19T17:24:55+00:00
2367,30.0,30.0,30.0,30.0,1,yfinance,2026-05-19T04:14:06+00:00
2368,1475.0,1650.0,1810.0,750.0,9,yfinance,2026-05-17T15:24:03+00:00
2376,371.0,340.0,495.0,295.0,9,yfinance,2026-05-19T04:14:08+00:00
2377,111.66667,100.0,183.0,93.0,6,yfinance,2026-05-10T15:21:00+00:00
2379,587.0,583.5,650.0,525.0,16,yfinance,2026-05-19T17:21:00+00:00
2382,385.16666,390.0,524.0,250.0,18,yfinance,2026-05-17T15:24:13+00:00
2383,4990.643,5259.5,6600.0,1985.0,14,yfinance,2026-05-19T04:14:11+00:00
2385,147.0,150.0,155.0,133.0,4,yfinance,2026-05-19T04:14:12+00:00
2393,75.0,75.0,75.0,75.0,1,yfinance,2026-05-17T15:24:19+00:00
2395,489.73334,500.0,610.0,400.0,15,yfinance,2026-05-17T15:24:20+00:00
2404,1340.0,1340.0,1340.0,1340.0,1,yfinance,2026-05-17T15:24:25+00:00
2408,305.63635,292.0,440.0,150.0,11,yfinance,2026-05-17T15:24:28+00:00
2409,17.1375,17.0,20.0,14.0,8,yfinance,2026-05-19T04:14:14+00:00
2412,132.14285,130.0,153.0,118.0,7,yfinance,2026-05-17T15:24:29+00:00
2421,188.2,182.0,214.0,165.0,5,yfinance,2026-05-17T15:24:36+00:00
2436,73.0,73.0,73.0,73.0,1,yfinance,2026-05-19T04:14:24+00:00
2439,102.33333,102.0,110.0,95.0,3,yfinance,2026-05-19T04:14:25+00:00
2449,357.6,370.0,435.0,142.0,15,yfinance,2026-05-19T17:20:56+00:00
2451,425.0,425.0,425.0,425.0,1,yfinance,2026-05-17T15:24:58+00:00
2454,3327.2834,3375.0,5000.0,1751.0,24,yfinance,2026-05-19T17:21:11+00:00
2455,328.3,307.5,504.0,160.0,10,yfinance,2026-05-19T04:14:30+00:00
2458,143.33333,135.0,160.0,135.0,3,yfinance,2026-05-19T04:14:32+00:00
2464,73.0,73.0,73.0,73.0,1,yfinance,2026-05-19T04:14:33+00:00
2467,495.0,580.0,605.0,300.0,3,yfinance,2026-05-19T04:14:35+00:00
2474,197.75,195.5,240.0,160.0,4,yfinance,2026-05-17T15:25:14+00:00
2480,185.0,185.0,200.0,170.0,2,yfinance,2026-05-17T15:25:18+00:00
2481,122.8,131.0,148.0,85.0,5,yfinance,2026-05-19T17:25:02+00:00
2498,34.4,34.4,34.4,34.4,1,yfinance,2026-05-17T15:25:33+00:00
2501,27.0,27.0,27.0,27.0,1,yfinance,2026-05-17T15:25:34+00:00
2515,14.0,14.0,14.0,14.0,1,yfinance,2026-05-19T17:25:17+00:00
2528,33.5,33.5,33.5,33.5,1,yfinance,2026-05-17T15:25:46+00:00
2530,27.0,27.0,27.0,27.0,1,yfinance,2026-05-17T15:25:47+00:00
2542,40.0,40.0,40.0,40.0,1,yfinance,2026-05-19T04:14:48+00:00
2548,142.0,142.0,142.0,142.0,1,yfinance,2026-05-19T04:14:50+00:00
2603,238.66667,235.0,312.0,185.0,9,yfinance,2026-05-19T17:25:17+00:00
2605,41.66667,45.0,50.0,30.0,3,yfinance,2026-05-19T04:14:53+00:00
2606,73.5,73.5,78.0,69.0,4,yfinance,2026-05-17T15:26:06+00:00
2609,61.6,62.0,68.0,52.0,5,yfinance,2026-05-19T04:14:54+00:00
2610,21.9625,21.0,25.7,20.0,8,yfinance,2026-05-19T17:25:18+00:00
2612,67.2,72.0,75.0,54.6,3,yfinance,2026-05-17T15:26:11+00:00
2615,89.5,87.0,110.0,74.0,4,yfinance,2026-05-19T04:14:57+00:00
2618,41.025,41.5,45.0,36.0,8,yfinance,2026-05-17T15:26:17+00:00
2634,55.5,55.5,63.0,48.0,4,yfinance,2026-05-17T15:26:19+00:00
